Race,Population,Year,,,,,,,,,,,,,,,,,
Hispanic (of any race),116943,1850,,,,,,,,,,,,,,,,,
Hispanic (of any race),155000,1860,,,,,,,,,,,,,,,,,
Hispanic (of any race),155000,1870,,,,,,,,,,,,,,,,,
Hispanic (of any race),393555,1880,,,,,,,,,,,,,,,,,
Hispanic (of any race),393555,1890,,,,,,,,,,,,,,,,,
Hispanic (of any race),503189,1900,,,,,,,,,,,,,,,,,
Hispanic (of any race),797994,1910,,,,,,,,,,,,,,,,,
Hispanic (of any race),1286154,1920,,,,,,,,,,,,,,,,,
Hispanic (of any race),1286154,1930,,,,,,,,,,,,,,,,,
Hispanic (of any race),2021820,1940,,,,,,,,,,,,,,,,,
Hispanic (of any race),3231409,1950,,,,,,,,,,,,,,,,,
Hispanic (of any race),5814784,1960,,,,,,,,,,,,,,,,,
Hispanic (of any race),8920940,1970,,,,,,,,,,,,,,,,,
Hispanic (of any race),14608673,1980,,,,,,,,,,,,,,,,,
Hispanic (of any race),22354059,1990,,,,,,,,,,,,,,,,,
Hispanic (of any race),35305818,2000,,,,,,,,,,,,,,,,,
Hispanic (of any race),50477594,2010,,,,,,,,,,,,,,,,,
Hispanic (of any race),62080044,2020,,,,,,,,,,,,,,,,,
Non-Hispanic White,19438451,1850,,,,,,,,,,,,,,,,,
Non-Hispanic White,19438451,1860,,,,,,,,,,,,,,,,,
Non-Hispanic White,19438451,1870,,,,,,,,,,,,,,,,,
Non-Hispanic White,43065679,1880,,,,,,,,,,,,,,,,,
Non-Hispanic White,43065679,1890,,,,,,,,,,,,,,,,,
Non-Hispanic White,66374317,1900,,,,,,,,,,,,,,,,,
Non-Hispanic White,81043248,1910,,,,,,,,,,,,,,,,,
Non-Hispanic White,93604612,1920,,,,,,,,,,,,,,,,,
Non-Hispanic White,93604612,1930,,,,,,,,,,,,,,,,,
Non-Hispanic White,116261189,1940,,,,,,,,,,,,,,,,,
Non-Hispanic White,131805405,1950,,,,,,,,,,,,,,,,,
Non-Hispanic White,153217498,1960,,,,,,,,,,,,,,,,,
Non-Hispanic White,169622593,1970,,,,,,,,,,,,,,,,,
Non-Hispanic White,180256366,1980,,,,,,,,,,,,,,,,,
Non-Hispanic White,188128296,1990,,,,,,,,,,,,,,,,,
Non-Hispanic White,194552774,2000,,,,,,,,,,,,,,,,,
Non-Hispanic White,196817552,2010,,,,,,,,,,,,,,,,,
Non-Hispanic White,191697647,2020,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,0,1850,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,34933,1860,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,63254,1870,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,105613,1880,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,109527,1890,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,114189,1900,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,146863,1910,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,182137,1920,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,264766,1930,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,254918,1940,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,321033,1950,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,980337,1960,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,1526401,1970,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,3500439,1980,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,7273662,1990,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,10641833,2000,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,15214265,2010,,,,,,,,,,,,,,,,,
Asian and Pacific Islander ,20576015,2020,,,,,,,,,,,,,,,,,
Other,0,1850,,,,,,,,,,,,,,,,,
Other,0,1860,,,,,,,,,,,,,,,,,
Other,0,1870,,,,,,,,,,,,,,,,,
Other,0,1880,,,,,,,,,,,,,,,,,
Other,0,1890,,,,,,,,,,,,,,,,,
Other,0,1900,,,,,,,,,,,,,,,,,
Other,0,1910,,,,,,,,,,,,,,,,,
Other,0,1920,,,,,,,,,,,,,,,,,
Other,0,1930,,,,,,,,,,,,,,,,,
Other,0,1940,,,,,,,,,,,,,,,,,
Other,48604,1950,,,,,,,,,,,,,,,,,
Other,87606,1960,,,,,,,,,,,,,,,,,
Other,230064,1970,,,,,,,,,,,,,,,,,
Other,6758319,1980,,,,,,,,,,,,,,,,,
Other,9804847,1990,,,,,,,,,,,,,,,,,
Other,22185301,2000,,,,,,,,,,,,,,,,,
Other,28116441,2010,,,,,,,,,,,,,,,,,
Other,61764658,2020,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,0,1850,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,44021,1860,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,25731,1870,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,66407,1880,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,248253,1890,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,237196,1900,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,265683,1910,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,244437,1920,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,332397,1930,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,333969,1940,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,343410,1950,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,551669,1960,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,795110,1970,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,1420400,1980,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,1959234,1990,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,2475956,2000,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,2932248,2010,,,,,,,,,,,,,,,,,
American Indian Eskimo and Aleut ,3727135,2020,,,,,,,,,,,,,,,,,
Black ,3638808,1850,,,,,,,,,,,,,,,,,
Black ,4441830,1860,,,,,,,,,,,,,,,,,
Black ,4880009,1870,,,,,,,,,,,,,,,,,
Black ,6580793,1880,,,,,,,,,,,,,,,,,
Black ,7488676,1890,,,,,,,,,,,,,,,,,
Black ,8833994,1900,,,,,,,,,,,,,,,,,
Black ,9827763,1910,,,,,,,,,,,,,,,,,
Black ,10463131,1920,,,,,,,,,,,,,,,,,
Black ,11891143,1930,,,,,,,,,,,,,,,,,
Black ,12865518,1940,,,,,,,,,,,,,,,,,
Black ,15042286,1950,,,,,,,,,,,,,,,,,
Black ,18871831,1960,,,,,,,,,,,,,,,,,
Black ,22539362,1970,,,,,,,,,,,,,,,,,
Black ,26495025,1980,,,,,,,,,,,,,,,,,
Black ,29986060,1990,,,,,,,,,,,,,,,,,
Black ,34658190,2000,,,,,,,,,,,,,,,,,
Black ,38929319,2010,,,,,,,,,,,,,,,,,
Black ,41104200,2020,,,,,,,,,,,,,,,,,
