movie_id,director_id,producer_id,box_office_value,cast_id_0,cast_id_1,cast_id_2,cast_id_3,cast_id_4
Q1021571,Q1148979,Q3498608,,Q229766,Q386514,Q200841,Q3367084,Q6607382
Q102105604,Q18542999,,,Q3038018,,,,
Q1021970,Q3369958,Q470104,,Q319001,Q707329,Q701940,Q1372732,Q6704261
Q1021980,Q317814,Q716091,,Q4918748,Q5336671,,,
Q1021977,Q5126527,Q707336,,Q838209,Q667260,Q701984,Q7959885,Q1087550
Q1022060,Q559774,Q559774,,Q805511,Q7843807,Q2299630,Q143896,
Q1020603,Q269585,Q347473,,Q56016,Q95089,Q358379,Q272096,Q209662
Q1022373,Q314301,Q721417,,Q213512,Q229545,Q191132,Q932204,Q934345
Q1022357,Q3417931,Q149136,,Q320115,Q7462923,Q465859,Q355748,Q6122336
Q1022352,Q63068185,,4654423.0,Q462327,Q379811,Q434636,Q1676283,Q503289
Q102225,Q312088,Q319986,895921036.0,Q38119,Q19190,Q39476,Q296008,Q28493
Q1022379,Q500611,Q500611,,Q1529138,Q500611,Q349704,Q533158,Q17350556
Q1022401,Q2160855,Q1064570,,Q20178,Q555590,Q474980,Q542190,Q540272
Q102235,Q312988,Q319986,941676843.0,Q38119,Q19190,Q39476,Q170428,Q296008
Q1023813,Q297173,,,,,,,
Q102244,Q75079,Q319986,879793867.0,Q38119,Q108270,Q19190,Q39476,Q55294
Q1024400,Q633,Q6490584,,Q370560,Q357211,Q354496,Q212886,Q633
Q1023472,Q1702242,Q3294239,,Q1629137,Q276611,Q4153228,Q714479,Q719134
Q1024660,Q3590988,Q3368979,,Q189422,Q43697,Q230710,Q265232,Q576085
Q1024664,Q7609993,,,Q191104,Q54314,Q1373450,Q2778807,Q594738
Q102438,Q75079,Q319986,978087613.0,Q38119,Q19190,Q39476,Q25014,Q296008
Q1024838,Q358714,Q358714,,Q725903,Q241841,Q575448,Q270074,Q2918839
Q1024861,Q53043,Q53043,,Q696570,Q3832049,Q3984299,Q4003443,Q3804131
Q1024937,Q7008165,Q24680647,,Q106764,Q970863,Q988237,Q556116,Q555490
Q1024694,Q298761,Q5516045,,Q529979,Q55422,Q1279422,Q487427,Q705531
Q102448,Q28028,Q319986,797361618.0,Q38119,Q19190,Q39476,Q296008,Q203545
Q1025603,Q7610468,,,Q292870,Q1189111,Q542816,Q6396602,
Q1025198,Q707755,Q707755,,Q83338,Q95048,Q271763,Q230632,Q236569
Q1026372,Q60858,Q2754518,,Q184378,Q441705,Q558844,Q1801799,Q1655562
Q1025721,Q19721342,,,Q227097,Q6096246,Q2861469,Q3591351,Q462256
Q1025096,Q2837668,Q6988354,,Q75021,Q355153,Q316647,Q105221,Q310926
Q1025973,Q7375761,Q5217579,,Q229268,Q311165,Q240949,Q2439878,Q272113
Q1026346,Q60858,,,Q1159045,Q1383560,Q501996,Q727086,Q384465
Q10263747,Q459291,Q12335248,,Q228676,Q129766,Q2347440,Q469983,Q4578673
Q1026449,Q69843,Q18402355,,Q162389,Q232282,Q727086,Q1367933,Q1034128
Q1026647,Q114179991,Q7350312,,Q267613,Q270149,Q312531,Q163263,Q227123
Q1026484,Q51466,Q7693660,,Q337185,Q268084,Q727086,Q1361050,Q1232794
Q10266301,Q1443765,Q649790,,Q367129,Q614508,Q438048,Q1277973,Q888168
Q1026470,Q4355032,,,Q1683879,Q2633899,Q926412,Q35011,Q371403
Q1026724,Q51466,Q302605,,Q212048,Q41034,Q727086,Q1367933,Q1982288
Q1026615,Q745414,Q18402355,,Q725637,Q558844,Q268084,Q1377107,Q727086
Q1026669,Q72756,Q72756,,Q184378,Q41034,Q1277934,Q727086,Q365550
Q1026650,Q51466,Q302605,,Q558844,Q104049,Q727086,Q2622125,Q957063
Q1026732,Q475703,Q13522534,,Q357762,Q313044,Q234618,Q185051,Q461598
Q1027175,Q5126192,Q3177645,,Q228739,Q363386,Q481832,Q310930,Q235198
Q1026756,Q4718041,Q2483123,,Q463497,Q271620,Q235972,Q2633899,Q2636228
Q1026997,Q55394,Q299419,,Q83484,Q106627,Q318263,Q1893008,Q545858
Q1026875,Q7260227,Q468442,,Q1192750,Q312781,Q7409239,Q7409550,Q4120812
Q1027515,Q728310,,,Q459465,Q6212353,Q326094,Q267243,Q728310
Q1027212,Q538578,Q950428,,Q41163,Q103784,Q76711,Q230035,Q5229101
Q1026730,Q4922895,Q11631947,,,,,,
Q1027247,Q475703,Q381807,,Q80966,Q229056,Q208685,Q80405,Q443961
Q102754,Q314882,Q287887,,Q4573,Q211111,Q448271,Q704473,Q1281640
Q1027834,Q21280758,Q7817415,,Q532180,Q472053,Q355197,Q2151617,Q299700
Q10282027,Q9697668,,,,,,,
Q1027640,Q6132186,Q7482626,,Q211283,Q42101,Q509117,Q231749,Q1346591
Q1027387,Q1421655,Q1740222,,Q212064,Q296500,Q347395,Q1762270,Q952839
Q1028206,Q113559059,Q231730,,Q4176208,Q1275214,Q228755,Q231730,Q256144
Q1028330,Q6503795,Q7439380,,Q7363915,Q512283,,,
Q1027810,Q2160855,Q575806,,Q107933,Q1288447,Q16758,Q280198,Q785863
Q1028547,Q55422,Q6178926,,Q6530692,,,,
Q10285703,Q3161090,Q6489855,3333306.0,Q956761,Q95048,Q743723,Q233837,Q1993906
Q1028596,Q2357790,Q3392265,,Q1255380,Q3049363,Q3186366,Q4894494,Q581617
Q1028548,Q4977645,Q2830580,,Q210172,Q191088,Q201656,Q41173,Q26876
Q10288763,Q55401,,,Q579058,Q13579834,Q4205284,Q6078776,Q11356352
Q1027680,Q707755,Q461529,,Q188772,Q235205,Q178552,Q172678,Q271635
Q1029278,Q4888745,Q3336296,,Q1502051,Q1445069,Q5686395,Q1124735,Q3369500
Q1028495,,,,Q1567773,Q313283,Q1770468,Q223790,Q191644
Q1028693,Q1346638,Q1194523,,Q1346638,Q549233,,,
