,Ethnicity,Wikidata URI
/m/03c8vzn,Czech Canadians,http://www.wikidata.org/entity/Q3498126
/m/04g1jdt,Chagatai people,http://www.wikidata.org/entity/Q3501965
/m/05q747b,Croatian Chilean,http://www.wikidata.org/entity/Q3503021
/m/0g6k0p,Croatian Peruvian,http://www.wikidata.org/entity/Q3503027
/m/047d03w,Croatian Brazilian,http://www.wikidata.org/entity/Q3507533
/m/03csd1g,Mal people,http://www.wikidata.org/entity/Q3508824
/m/03gzxsg,Yudjá,http://www.wikidata.org/entity/Q3512896
/m/0w3s,Achaeans,http://www.wikidata.org/entity/Q3514911
/m/09vt39,Portuguese Burghers,http://www.wikidata.org/entity/Q3530409
/m/027qxq8,Tupuri people,http://www.wikidata.org/entity/Q3532986
/m/02p73xj,Tamil Muslim,http://www.wikidata.org/entity/Q3535195
/m/025st7p,Chimariko,http://www.wikidata.org/entity/Q3557450
/m/0j3ctw5,Akwen,http://www.wikidata.org/entity/Q3607408
/m/05nsbj,Kaingang,http://www.wikidata.org/entity/Q35533
/m/0443q7,Krashovani,http://www.wikidata.org/entity/Q39615
/m/036p3f,Bubi people,http://www.wikidata.org/entity/Q41477
/m/02vsw1,European Americans,http://www.wikidata.org/entity/Q43103
/m/038cy,Germanic peoples,http://www.wikidata.org/entity/Q22633
/m/03gq7tt,Hän people,http://www.wikidata.org/entity/Q26862
/m/0f0gt_,Asian people,http://www.wikidata.org/entity/Q4058325
/m/0bbx4b8,Asian people,http://www.wikidata.org/entity/Q4058325
/m/0b6j3qv,Alasha,http://www.wikidata.org/entity/Q4060566
/m/07gmr1,Isneg people,http://www.wikidata.org/entity/Q4067912
/m/05n1s8,Domba,http://www.wikidata.org/entity/Q3764518
/m/04f6h_f,Italian Chilean,http://www.wikidata.org/entity/Q3804348
/m/09gdc26,Italians of Ethiopia,http://www.wikidata.org/entity/Q3804355
/m/05f9rh3,Haha,http://www.wikidata.org/entity/Q3826173
/m/026yjwv,Mạ people,http://www.wikidata.org/entity/Q3841827
/m/0gb44n,Tongwe people,http://www.wikidata.org/entity/Q3847568
/m/04_1k4f,Matipu people,http://www.wikidata.org/entity/Q3851895
/m/0h98170,Ndaka people,http://www.wikidata.org/entity/Q3874054
/m/0x11hk1,Opici,http://www.wikidata.org/entity/Q3884171
/m/0gd_h3,Ikizu people,http://www.wikidata.org/entity/Q3892191
/m/0gc2mn,Rwa people,http://www.wikidata.org/entity/Q3892525
/m/0gb4zh,Sizaki people,http://www.wikidata.org/entity/Q3892580
