,Ethnicity,Wikidata URI
/m/0bgf0m,Suba people,http://www.wikidata.org/entity/Q3892612
/m/0gc_cn,Maviha people,http://www.wikidata.org/entity/Q3893283
/m/0c_rwm,Olu'bo people,http://www.wikidata.org/entity/Q3894912
/m/013_8f,Rơ Măm people,http://www.wikidata.org/entity/Q3938099
/m/07fswd,Franks,http://www.wikidata.org/entity/Q43482
/m/04mwbb,Bukharan Jews,http://www.wikidata.org/entity/Q44949
/m/0gcmzs,Rufiji people,http://www.wikidata.org/entity/Q3624326
/m/0gczpt,Mwera people,http://www.wikidata.org/entity/Q3624332
/m/0260f5_,Auaké people,http://www.wikidata.org/entity/Q3624647
/m/025r_4p,Khas people,http://www.wikidata.org/entity/Q3630408
/m/04jq32s,Nepali Indian,http://www.wikidata.org/entity/Q3635166
/m/0_h1q4j,Kamëntsá,http://www.wikidata.org/entity/Q3654784
/m/09rsp90,Kurds of Khorasan,http://www.wikidata.org/entity/Q3675496
/m/0hgnkz2,Kurds in Georgia,http://www.wikidata.org/entity/Q3676128
/m/0b6pgk,Cadigal,http://www.wikidata.org/entity/Q3756857
/m/02p5s5,Gurjar,http://www.wikidata.org/entity/Q1274487
/m/0466jwz,Ixil people,http://www.wikidata.org/entity/Q1275920
/m/03gzxvj,Ye'kuana people,http://www.wikidata.org/entity/Q1287619
/m/05d5z8,Mazahua pobres,http://www.wikidata.org/entity/Q1289821
/m/07ygd9,Meru people,http://www.wikidata.org/entity/Q1290677
/m/0gg75v1,Warfalla,http://www.wikidata.org/entity/Q2298514
/m/01trr1,Suquamish tribe,http://www.wikidata.org/entity/Q2304554
/m/07vtq4,Vaccaei,http://www.wikidata.org/entity/Q2310278
/m/02783bf,Torghut,http://www.wikidata.org/entity/Q2330821
/m/05pbsvb,Dutch Surinamese,http://www.wikidata.org/entity/Q2378525
/m/02254f,Nahuas,http://www.wikidata.org/entity/Q826591
/m/0k2ln9t,Ukrainians in Hungary,http://www.wikidata.org/entity/Q836709
/m/09pjs6,Mascouten,http://www.wikidata.org/entity/Q838408
/m/0464gxq,Kumo Xi,http://www.wikidata.org/entity/Q839879
/m/09snn4,West Slavs,http://www.wikidata.org/entity/Q840454
/m/03w9bjf,British Indian people,http://www.wikidata.org/entity/Q4115170
/m/0266mf0,Palestinian American,http://www.wikidata.org/entity/Q4115525
/m/02x3b0p,Iraqis in Norway,http://www.wikidata.org/entity/Q4119125
/m/07z0d4,Huambisa people,http://www.wikidata.org/entity/Q4120516
/m/0jt6cnh,Godala,http://www.wikidata.org/entity/Q4134704
/m/0118k6r4,Greeks in Ethiopia,http://www.wikidata.org/entity/Q4148453
/m/0_82vmf,Hunzib people,http://www.wikidata.org/entity/Q4152167
/m/0bbybwt,Zargari people,http://www.wikidata.org/entity/Q4187138
/m/0416200,Kazakh American,http://www.wikidata.org/entity/Q4208059
/m/0d8qh0,Indonesian Americans,http://www.wikidata.org/entity/Q4256383
/m/017_9v,Saka,http://www.wikidata.org/entity/Q673001
/m/0c2xyb,Sumo people,http://www.wikidata.org/entity/Q677044
/m/02rwfg,Yotvingians,http://www.wikidata.org/entity/Q691268
/m/05h6zx,Gurage people,http://www.wikidata.org/entity/Q844307
/m/04ls2w,Svan people,http://www.wikidata.org/entity/Q846578
/m/02rx4fz,Cusabo people,http://www.wikidata.org/entity/Q851585
/m/07k5rfy,Kokang people,http://www.wikidata.org/entity/Q856676
/m/03sg11,Krivich,http://www.wikidata.org/entity/Q48287
/m/07s8n27,Makonde people,http://www.wikidata.org/entity/Q48885
/m/02k1vf,Powhatan,http://www.wikidata.org/entity/Q49291
/m/03yj5x,Bozo people,http://www.wikidata.org/entity/Q896172
/m/03xtry,Rai people,http://www.wikidata.org/entity/Q905467
/m/02ql2x_,Turks in Japan,http://www.wikidata.org/entity/Q908720
/m/0fx97,Mohave people,http://www.wikidata.org/entity/Q921253
/m/0118vsbn,Roma in Romania,http://www.wikidata.org/entity/Q923163
/m/014wq3,Hernici,http://www.wikidata.org/entity/Q930242
/m/08k5jg,Navajo,http://www.wikidata.org/entity/Q108266
/m/01g3rx,Aymara,http://www.wikidata.org/entity/Q109402
/m/0630vt,Apalachee people,http://www.wikidata.org/entity/Q49306
/m/0fr3k,Muscogee,http://www.wikidata.org/entity/Q51705
/m/02lwr2,Calusa,http://www.wikidata.org/entity/Q51782
/m/031f24,Rusyns,http://www.wikidata.org/entity/Q140420
/m/01qhm_,German Americans,http://www.wikidata.org/entity/Q141817
/m/05tjw6,Samoyedic peoples,http://www.wikidata.org/entity/Q941253
/m/04msn4,Snohomish tribe,http://www.wikidata.org/entity/Q941391
/m/0bs5zv_,Finns in Switzerland,http://www.wikidata.org/entity/Q942701
/m/06zf2k,Finno-Ugric peoples,http://www.wikidata.org/entity/Q952057
/m/01fy75,Dai people,http://www.wikidata.org/entity/Q840530
/m/09mnvv,Indigenous peoples of the Northeastern Woodlands.,http://www.wikidata.org/entity/Q841334
/m/092s97,Sarakatsani,http://www.wikidata.org/entity/Q841744
/m/027zwhd,Lunda people,http://www.wikidata.org/entity/Q1292932
/m/09c0vq,Bicolano people,http://www.wikidata.org/entity/Q1293737
/m/05nbz_,Dörbets,http://www.wikidata.org/entity/Q1307360
/m/0dnbl9,Bahnar people,http://www.wikidata.org/entity/Q1347290
/m/013zbt,Lhoba people,http://www.wikidata.org/entity/Q857613
/m/04dwk_,Kuban Cossacks,http://www.wikidata.org/entity/Q861646
/m/04q7wvv,Turks in Switzerland,http://www.wikidata.org/entity/Q692546
/m/04gmm78,Anartes,http://www.wikidata.org/entity/Q699194
/m/0c2nry,Koreans in China,http://www.wikidata.org/entity/Q715978
/m/05g59j,Naimans,http://www.wikidata.org/entity/Q727307
/m/09v991,Murle people,http://www.wikidata.org/entity/Q116203
/m/064b9n,Omaha people,http://www.wikidata.org/entity/Q120601
/m/056y3p,Tsuut'ina Nation,http://www.wikidata.org/entity/Q123033
/m/06dc9r,Udege people,http://www.wikidata.org/entity/Q1420414
/m/06qf6m,Miknasa,http://www.wikidata.org/entity/Q1423557
/m/04b67,Kickapoo people,http://www.wikidata.org/entity/Q1429504
/m/03cstqp,Lao Lom,http://www.wikidata.org/entity/Q1431531
/m/0dsxx0,Nyangatom people,http://www.wikidata.org/entity/Q1432890
/m/0fwwsr,Yana people,http://www.wikidata.org/entity/Q1434198
/m/0fqqc0k,Inga people,http://www.wikidata.org/entity/Q2707733
/m/0sggnwj,Mer people,http://www.wikidata.org/entity/Q2769064
/m/03d6zqc,Shi'a Islam in Lebanon,http://www.wikidata.org/entity/Q2777998
/m/0hgnw2d,Kele people,http://www.wikidata.org/entity/Q2829189
/m/0ndwss5,Guambiano,http://www.wikidata.org/entity/Q2839602
/m/06jfn8,Aluku,http://www.wikidata.org/entity/Q2840535
/m/02z7lb_,Bagienni,http://www.wikidata.org/entity/Q2879045
/m/02rhm2q,Belait people,http://www.wikidata.org/entity/Q2894202
/m/011bdk20,history of the Jews under Muslim rule,http://www.wikidata.org/entity/Q2916490
/m/028536q,Celsitani,http://www.wikidata.org/entity/Q2944129
/m/076w8xc,Shahsevens,http://www.wikidata.org/entity/Q2991513
/m/032465,Wari’ people,http://www.wikidata.org/entity/Q2549328
/m/0d5gdp,Gbagyi people,http://www.wikidata.org/entity/Q2568762
/m/09wq_z,Mardijker people,http://www.wikidata.org/entity/Q2611406
/m/079210,Polochans,http://www.wikidata.org/entity/Q2625733
/m/07w2rf,Zlicans,http://www.wikidata.org/entity/Q2626922
/m/02w2bkc,Albazinians,http://www.wikidata.org/entity/Q2630843
/m/0bh99zd,Serbs of Kosovo,http://www.wikidata.org/entity/Q2631779
/m/05f940d,Abkhazians of African descent,http://www.wikidata.org/entity/Q2680223
/m/0409xr,Balinese people,http://www.wikidata.org/entity/Q1266626
/m/054xwh,Indo-Aryan peoples,http://www.wikidata.org/entity/Q1267849
/m/06jy2_,Quapaw,http://www.wikidata.org/entity/Q1268882
/m/024jn3,Udmurt people,http://www.wikidata.org/entity/Q184922
/m/053yxv,Nogais,http://www.wikidata.org/entity/Q192616
/m/0773nv,Greek Muslims,http://www.wikidata.org/entity/Q1365225
/m/066w8_,Khmer Krom,http://www.wikidata.org/entity/Q1370078
/m/01kb9y,multiracial people,http://www.wikidata.org/entity/Q1378555
/m/03cvt2w,Kwama people,http://www.wikidata.org/entity/Q1396225
/m/0259h3,Lipan Apache people,http://www.wikidata.org/entity/Q1402468
/m/05b61bd,Somba people,http://www.wikidata.org/entity/Q1412407
/m/04kv_4,Menominee,http://www.wikidata.org/entity/Q2447438
/m/076z4d6,Tsawout First Nation,http://www.wikidata.org/entity/Q2457389
/m/06m2zc,Limici,http://www.wikidata.org/entity/Q2469614
/m/09wjt8,Irulas,http://www.wikidata.org/entity/Q2511301
/m/03bzxsm,Stieng people,http://www.wikidata.org/entity/Q2518515
/m/010ltt5n,Maxakali,http://www.wikidata.org/entity/Q2520785
/m/03qfx0,Palus people,http://www.wikidata.org/entity/Q2526730
/m/0fzt66,Limba people,http://www.wikidata.org/entity/Q2533513
/m/07wd84,Indigenous peoples of Oceania,http://www.wikidata.org/entity/Q142425
/m/07kgn2_,Manihar,http://www.wikidata.org/entity/Q142485
/m/0cmc_rc,Nat caste,http://www.wikidata.org/entity/Q142530
/m/07nmkf,Zaza people,http://www.wikidata.org/entity/Q142897
/m/01bw2f,Indigenous people in Canada,http://www.wikidata.org/entity/Q863284
/m/05q70y,Toucouleur people,http://www.wikidata.org/entity/Q864920
/m/02ps1_7,Inughuit,http://www.wikidata.org/entity/Q888078
/m/02lr50,Bokelji,http://www.wikidata.org/entity/Q891210
/m/01fy9g,Mongoloid,http://www.wikidata.org/entity/Q207912
/m/026g979,Seres,http://www.wikidata.org/entity/Q210258
/m/050ct2,Abkhazians,http://www.wikidata.org/entity/Q171795
/m/0gf2b4,Fipa people,http://www.wikidata.org/entity/Q2995992
/m/064q1kd,Jakhanke people,http://www.wikidata.org/entity/Q3025924
/m/05mvvx,Jarawa,http://www.wikidata.org/entity/Q3032900
/m/07djrc,Rungus people,http://www.wikidata.org/entity/Q3041543
/m/027936c,Gin people,http://www.wikidata.org/entity/Q3059102
/m/026ld6w,Potiguara people,http://www.wikidata.org/entity/Q3066236
/m/028ldh,Franco-Manitoban,http://www.wikidata.org/entity/Q3082336
/m/0g8_sj,Zinza people,http://www.wikidata.org/entity/Q3110223
/m/0cnzzb7,Vazimba,http://www.wikidata.org/entity/Q3123073
/m/06w6mrq,Lebanese Uruguayan,http://www.wikidata.org/entity/Q4260945
/m/0ftlzz,Luxembourgish Americans,http://www.wikidata.org/entity/Q4272184
/m/0qsbv3p,Tamil Mauritians,http://www.wikidata.org/entity/Q4277415
/m/011vl79y,Moldovans in Ukraine,http://www.wikidata.org/entity/Q4300274
/m/03qfbjq,Danish Australian,http://www.wikidata.org/entity/Q4302528
/m/02zz4n,Cape Dutch,http://www.wikidata.org/entity/Q4357983
/m/0119mjl_,Russians in Armenia,http://www.wikidata.org/entity/Q4400586
/m/0fb3hv,Seychellois Creole people,http://www.wikidata.org/entity/Q4413201
/m/03rp01,Great Sioux Nation,http://www.wikidata.org/entity/Q4421193
/m/03lnnd,Thai Americans,http://www.wikidata.org/entity/Q4450068
/m/0vxgq0r,Iranian Turkmen,http://www.wikidata.org/entity/Q4466166
/m/03cdw7v,Cho Ro people,http://www.wikidata.org/entity/Q4468164
/m/0c3xl7w,Uyghurs in Kazakhstan,http://www.wikidata.org/entity/Q4470272
/m/04qzj9,Polabian Slavs,http://www.wikidata.org/entity/Q149234
/m/073xgv,Hevelli,http://www.wikidata.org/entity/Q165148
/m/03w71j,Herero people,http://www.wikidata.org/entity/Q170088
/m/0g29nn,Welayta people,http://www.wikidata.org/entity/Q954810
/m/0j6wj,Wiradjuri,http://www.wikidata.org/entity/Q957298
/m/06c83b,Sino-Mauritian,http://www.wikidata.org/entity/Q963575
/m/0ds12b4,Tidung,http://www.wikidata.org/entity/Q967412
/m/03c3xh4,Waxhaw tribe,http://www.wikidata.org/entity/Q968360
/m/07f7h7,Sara people,http://www.wikidata.org/entity/Q969552
/m/03bzs11,Bru people,http://www.wikidata.org/entity/Q991396
/m/04ns8q,Karamanlides,http://www.wikidata.org/entity/Q252692
/m/02sq4q,Shawnee,http://www.wikidata.org/entity/Q253436
/m/07yltt,Erie people,http://www.wikidata.org/entity/Q258571
/m/03hf_6z,Gibraltarian people,http://www.wikidata.org/entity/Q285828
/m/0c7vnx,Tigre people,http://www.wikidata.org/entity/Q1075894
/m/04g1xy0,Siberian Bukharans,http://www.wikidata.org/entity/Q1080272
/m/03h3lq4,Macuna people,http://www.wikidata.org/entity/Q1088038
/m/03d961x,Tenharim,http://www.wikidata.org/entity/Q1091659
/m/0bndn0,Chamar,http://www.wikidata.org/entity/Q1111240
/m/03hh7nt,Chocho people,http://www.wikidata.org/entity/Q1113140
/m/0dqrdh,Pa'O people,http://www.wikidata.org/entity/Q2104642
/m/04nbqd,Indo people,http://www.wikidata.org/entity/Q2116909
/m/0cd3pz,Chontal Maya people,http://www.wikidata.org/entity/Q2133336
/m/02rmdg_,Neofiti,http://www.wikidata.org/entity/Q2156426
/m/02rdjy7,Sakuye people,http://www.wikidata.org/entity/Q2213715
/m/0gmd43z,Aikanã,http://www.wikidata.org/entity/Q2222837
/m/0ct7tx,Xo Dang people,http://www.wikidata.org/entity/Q2253047
/m/04ct9qv,Parintintín,http://www.wikidata.org/entity/Q2258581
/m/0266ctz,Nakh peoples,http://www.wikidata.org/entity/Q2267244
/m/03ndvw,Vietnamese people,http://www.wikidata.org/entity/Q216151
/m/0fz6b,Hmong people,http://www.wikidata.org/entity/Q219205
/m/026djq6,Curonian Kings,http://www.wikidata.org/entity/Q1473238
/m/026bv71,Tongva people,http://www.wikidata.org/entity/Q1479279
/m/07g8q0,Nupe people,http://www.wikidata.org/entity/Q1482397
/m/09lmt0,Volga Tatars,http://www.wikidata.org/entity/Q1484689
/m/011b5xjm,Katzie,http://www.wikidata.org/entity/Q1736937
/m/071589,Khassonké people,http://www.wikidata.org/entity/Q1740605
/m/08x810,Kurdish Jews,http://www.wikidata.org/entity/Q1750102
/m/0h3g2z,Kogui people,http://www.wikidata.org/entity/Q1754298
/m/0513v1,Ponca,http://www.wikidata.org/entity/Q1754891
/m/0fq0__s,Antandroy,http://www.wikidata.org/entity/Q1772245
/m/0119126h,Armenians in Hungary,http://www.wikidata.org/entity/Q739111
/m/02z154r,Atacama people,http://www.wikidata.org/entity/Q753125
/m/02vf8s,Fijians,http://www.wikidata.org/entity/Q794439
/m/0774cr,Bafour,http://www.wikidata.org/entity/Q799802
/m/02pxd5,Beni Ḥassān,http://www.wikidata.org/entity/Q807039
/m/04gtyry,Igbo American,http://www.wikidata.org/entity/Q5991575
/m/0y7vb0c,Mestizos in Mexico,http://www.wikidata.org/entity/Q6011515
/m/0dljdsn,Indians in Bangladesh,http://www.wikidata.org/entity/Q6024052
/m/02qnx2n,Indians in Botswana,http://www.wikidata.org/entity/Q6024070
/m/0gjc6x6,Indians in Egypt,http://www.wikidata.org/entity/Q6024082
/m/0gmg0k4,Indians in Taiwan,http://www.wikidata.org/entity/Q6024150
/m/0drwv08,Indians in Turkey,http://www.wikidata.org/entity/Q6024153
/m/047mvq3,Indians in Zambia,http://www.wikidata.org/entity/Q6024165
/m/03mbmpb,Indo-Grenadians,http://www.wikidata.org/entity/Q6025491
/m/0279fsv,Indonesians in Hong Kong,http://www.wikidata.org/entity/Q6026309
/m/027rjbs,Iranian Australian,http://www.wikidata.org/entity/Q6067224
/m/02x3v64,Iraqi Canadians,http://www.wikidata.org/entity/Q6067976
/m/0cmc25q,Iraqis in the United Arab Emirates,http://www.wikidata.org/entity/Q6068224
/m/0bvsfk,Italian Scots,http://www.wikidata.org/entity/Q6092933
/m/02qwghh,Jadaun,http://www.wikidata.org/entity/Q6121206
/m/0c5ldy,Jain Bunt,http://www.wikidata.org/entity/Q6123999
/m/09glz0f,Lengue people,http://www.wikidata.org/entity/Q6152328
/m/04cs4r9,Japanese Chileans,http://www.wikidata.org/entity/Q6158140
/m/01181q51,Japanese in Hawaii,http://www.wikidata.org/entity/Q6158764
/m/0bs8b7j,Japanese migration to Malaysia,http://www.wikidata.org/entity/Q6158816
/m/0806042,Japanese settlement in the Marshall Islands,http://www.wikidata.org/entity/Q6159033
/m/02vm4g8,Jarwar,http://www.wikidata.org/entity/Q6161290
/m/02qmk9p,Jawi Peranakan,http://www.wikidata.org/entity/Q6166119
/m/0h1fz9x,Jie,http://www.wikidata.org/entity/Q6192180
/m/0ftwg,Buryats,http://www.wikidata.org/entity/Q207050
/m/05l5hh,Timucua,http://www.wikidata.org/entity/Q56168
/m/032cq7,Chitimacha,http://www.wikidata.org/entity/Q56188
/m/05dr6r,Muong people,http://www.wikidata.org/entity/Q72805
/m/02whq8,Nùng people,http://www.wikidata.org/entity/Q72810
/m/0s8xyfq,Circassians in Syria,http://www.wikidata.org/entity/Q4513182
/m/047nk3f,Shina people,http://www.wikidata.org/entity/Q4524034
/m/02r05kv,'Namgis,http://www.wikidata.org/entity/Q4540498
/m/080hp_r,Aboriginal Canadian personalities,http://www.wikidata.org/entity/Q4668323
/m/0gdrg9,Kuria people,http://www.wikidata.org/entity/Q1552724
/m/0gffcmf,Sri Lankans in Switzerland,http://www.wikidata.org/entity/Q1554490
/m/03t9jj,Sasak people,http://www.wikidata.org/entity/Q1560742
/m/0ll1t96,Amikwa people,http://www.wikidata.org/entity/Q1561494
/m/0gjn4z,Minaro,http://www.wikidata.org/entity/Q1561807
/m/05fx2y,Lao Theung,http://www.wikidata.org/entity/Q1568215
/m/0285l_n,Navjote,http://www.wikidata.org/entity/Q1574851
/m/04d_tsp,Albanians in Ukraine,http://www.wikidata.org/entity/Q1581447
/m/07cd5w,Kololo tribe,http://www.wikidata.org/entity/Q1779570
/m/0491cg,Ulichs,http://www.wikidata.org/entity/Q1785737
/m/02rczt1,Songhees,http://www.wikidata.org/entity/Q1789962
/m/01w61w,Lummi,http://www.wikidata.org/entity/Q1808217
/m/0cdv5s,Pintupi,http://www.wikidata.org/entity/Q1820260
/m/0t_dbf6,Nuxalk,http://www.wikidata.org/entity/Q1825474
/m/02szz8,Wintun people,http://www.wikidata.org/entity/Q1850474
/m/03gy07x,Lower Skagit tribe,http://www.wikidata.org/entity/Q1872611
/m/0yx_4jx,Paniya people,http://www.wikidata.org/entity/Q17072958
/m/063yn65,Nahukuá,http://www.wikidata.org/entity/Q17076694
/m/0z6r2cl,Spanish immigration to Hawaii,http://www.wikidata.org/entity/Q17088750
/m/0ynvp0j,Tukudeka,http://www.wikidata.org/entity/Q17103448
/m/0cmbx7w,Malian American,http://www.wikidata.org/entity/Q17108738
/m/057xh8x,Ikwerre people,http://www.wikidata.org/entity/Q17109068
/m/011f2fjd,Serb community of White Carniola,http://www.wikidata.org/entity/Q18210188
/m/0121_y18,Syrians in Uruguay,http://www.wikidata.org/entity/Q18326235
/m/011sn443,mestizos in Venezuela,http://www.wikidata.org/entity/Q18343999
/m/012668n4,Arameans in Israel,http://www.wikidata.org/entity/Q18353708
/m/011v7pwm,Pochury Naga,http://www.wikidata.org/entity/Q18389080
/m/010xd8k1,Takua people,http://www.wikidata.org/entity/Q18393236
/m/0127xnms,Kurds in Finland,http://www.wikidata.org/entity/Q18516396
/m/012kx0_g,Lebanese people in Syria,http://www.wikidata.org/entity/Q18746344
/m/012hd72w,Arab Uruguayan,http://www.wikidata.org/entity/Q19568872
/m/012hcmz3,Chinese people in Mali,http://www.wikidata.org/entity/Q19840402
/m/012zv4m1,Copts in Australia,http://www.wikidata.org/entity/Q19870022
/m/012wq9fl,Kurdish Jews in Israel,http://www.wikidata.org/entity/Q19879652
/m/0134dttr,Aigosages,http://www.wikidata.org/entity/Q19891956
/m/012whntc,Lebanese people in Cyprus,http://www.wikidata.org/entity/Q19893068
/m/0131vh_t,Czechs in France,http://www.wikidata.org/entity/Q19893526
/m/010rhhj5,Peruvians in France,http://www.wikidata.org/entity/Q20021560
/m/012hpgk_,Serbs in Norway,http://www.wikidata.org/entity/Q20850986
/m/03ywzz,Kaqchikel people,http://www.wikidata.org/entity/Q1026107
/m/09k4cbp,Phunoi people,http://www.wikidata.org/entity/Q1028324
/m/08yyxw,Hirpini,http://www.wikidata.org/entity/Q1036791
/m/0b762kv,Afro-Russian,http://www.wikidata.org/entity/Q1060050
/m/041j3z,Chamorro people,http://www.wikidata.org/entity/Q1060991
/m/0118ljqg,Serbs in Romania,http://www.wikidata.org/entity/Q1064264
/m/04610y,Turkmens,http://www.wikidata.org/entity/Q484472
/m/03_q31,Ik people,http://www.wikidata.org/entity/Q485273
/m/0b8zk1,indigenous peoples of Mexico,http://www.wikidata.org/entity/Q3314452
/m/011b941w,Greeks in Romania,http://www.wikidata.org/entity/Q3315585
/m/0c_qv0,Ndogo people,http://www.wikidata.org/entity/Q3337493
/m/0478vwx,Ngarigo people,http://www.wikidata.org/entity/Q3339282
/m/09djwf,Oulad Delim,http://www.wikidata.org/entity/Q3358162
/m/067m56,Attie people,http://www.wikidata.org/entity/Q417996
/m/0gb405,Vinza people,http://www.wikidata.org/entity/Q3367738
/m/02j21g,Magnetes,http://www.wikidata.org/entity/Q3387769
/m/0chw2t,Afitti people,http://www.wikidata.org/entity/Q3399304
/m/047b81t,Q’anjob’al people,http://www.wikidata.org/entity/Q3435904
/m/0119zctz,Russians in Belgium,http://www.wikidata.org/entity/Q3453512
/m/06_5_y,Ursari,http://www.wikidata.org/entity/Q3459266
/m/03cdwj2,H're people,http://www.wikidata.org/entity/Q4501944
/m/0bs7h4w,Abidji people,http://www.wikidata.org/entity/Q4667609
/m/0520x54,Adaviyar,http://www.wikidata.org/entity/Q4680922
/m/02rn7py,Afemai,http://www.wikidata.org/entity/Q4688840
/m/02rmz6k,Afghan American,http://www.wikidata.org/entity/Q4689053
/m/07bxy2,Afghan Canadian,http://www.wikidata.org/entity/Q4689057
/m/0dllcfn,Afghans in India,http://www.wikidata.org/entity/Q4689218
/m/065ylb0,Afghans in Tajikistan,http://www.wikidata.org/entity/Q4689222
/m/011c6f8k,African minority in Lithuania,http://www.wikidata.org/entity/Q4690034
/m/0h52f4q,Africans in Guangzhou,http://www.wikidata.org/entity/Q4690072
/m/04f0cb8,Afro-Costa Rican,http://www.wikidata.org/entity/Q4690173
/m/0hzqlwz,Afro-Dutch,http://www.wikidata.org/entity/Q4690178
/m/0gwy_rq,Afro-Guatemalan,http://www.wikidata.org/entity/Q4690180
/m/0gx2djc,Afro-Paraguayans,http://www.wikidata.org/entity/Q4690191
/m/04608z,Afro Trinidadians and Tobagonians,http://www.wikidata.org/entity/Q4690200
/m/0gwz0vh,Afro Venezuelans,http://www.wikidata.org/entity/Q4690221
/m/0bwjfqj,Agua Caliente Reservation,http://www.wikidata.org/entity/Q4694429
/m/0gvt02c,Ahar caste,http://www.wikidata.org/entity/Q4694977
/m/05b1zrt,Ahirwar,http://www.wikidata.org/entity/Q4695137
/m/0h1fjvz,Aliab Dinka,http://www.wikidata.org/entity/Q4725351
/m/0897l_,Amarar tribe,http://www.wikidata.org/entity/Q4740190
/m/04gl_cs,Americans and Canadians in Chile,http://www.wikidata.org/entity/Q4745608
/m/04ghlyg,Andh,http://www.wikidata.org/entity/Q4754312
/m/0kvhmml,Anga people,http://www.wikidata.org/entity/Q4761898
/m/06vqmk,Anglo-Métis,http://www.wikidata.org/entity/Q4763645
/m/0n48g9v,Angolan Argentine,http://www.wikidata.org/entity/Q4763763
/m/080761g,Angolans in the Netherlands,http://www.wikidata.org/entity/Q4763801
/m/0ds1_9,Ani-Stohini/Unami,http://www.wikidata.org/entity/Q4764397
/m/04f1rts,Apuka,http://www.wikidata.org/entity/Q4782293
/m/05f3z74,Arabs in Pakistan,http://www.wikidata.org/entity/Q4783489
/m/0fd0vy,Armenians in Bulgaria,http://www.wikidata.org/entity/Q4793316
/m/0j9l5pq,Assyrians in Greece,http://www.wikidata.org/entity/Q4810471
/m/0j63c53,Assyrians in the Netherlands,http://www.wikidata.org/entity/Q4810476
/m/0g5r8z1,Australians in Saudi Arabia,http://www.wikidata.org/entity/Q4825261
/m/0h1gz1h,Austrian Australians,http://www.wikidata.org/entity/Q4825465
/m/04lgl9t,Austrians in the United Kingdom,http://www.wikidata.org/entity/Q4825530
/m/0cj818,Awlad Mana,http://www.wikidata.org/entity/Q4830096
/m/0cz83zb,Bafan,http://www.wikidata.org/entity/Q4841317
/m/0cc6668,Baloch people,http://www.wikidata.org/entity/Q4852430
/m/0407lxc,Bangladeshis in Japan,http://www.wikidata.org/entity/Q4855491
/m/0dbbfv,Bantu-speaking peoples of South Africa,http://www.wikidata.org/entity/Q4857258
/m/0ch3tlh,Barapa Barapa people,http://www.wikidata.org/entity/Q4858432
/m/0gcnjb,Barbadian Canadians,http://www.wikidata.org/entity/Q4858564
/m/0dlkjy5,Batalaunda,http://www.wikidata.org/entity/Q4868552
/m/0fpk663,Bedia,http://www.wikidata.org/entity/Q4879262
/m/09v28x4,Bengalis in Pakistan,http://www.wikidata.org/entity/Q4887701
/m/03gzmht,Berau Malays,http://www.wikidata.org/entity/Q4891015
/m/0100nfmj,Tanana Athabaskans,http://www.wikidata.org/entity/Q4895596
